Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
Loading System,Pack unloading,Upper computer abnormal,Identified during failure analysis,Pc restart and run
General Equipment,Cosmatic tape wrapping,Drive alarm,Identified during failure analysis,Communication cable change between 10 to 11
General Equipment,Image capture machine,Tray vacuum alarm,Identified during failure analysis,Tray lifting plate alignment done
General Equipment,Cosmatic tape wrapping,Wrapping ng,Identified during failure analysis,Tape provide on forming station
General Equipment,Image capture machine,Vaccum issue & abnormal sensing issue,Identified during failure analysis,Remove all part and run after initialize the machine and set the feed cylinder reed swtich.
General Equipment,FT Machine,Discharge tank stop signal alarm,Identified during failure analysis,Manually home servo then running.
General Equipment,Cell tab cutting,CCD time out alarm,Identified during failure analysis,Restart the framework software 2 times.
General Equipment,VHB Machine,Topping 1 & 2 alarm,Identified during failure analysis,Set the VHB tape position & lifting position 3.00 to 4.00
Battery Management Unit,BMU tape sticking,CCD time out alarm,Identified during failure analysis,Restart the framework software 2 times.
Assembly Station,Post apmt,Fai 53 ng,Identified during failure analysis,See problem description
General Equipment,Water ingress wrapping,Tear glue station pu pipe puncher,Identified during failure analysis,Pipe connected with pu connector
General Equipment,Cosmetic forming,Fai - 126 ng,Identified during failure analysis,Left side front forming tape change
General Equipment,VHb machine,Topping - 1 vaccum alarm,Identified during failure analysis,VHB lloding turn table fixture - 1 position -1.09 to -0.9 set
Assembly Station,Pre APMT,Device status notice: St20_2A axis alarm,Identified during failure analysis,"The faulty servo drive was replaced, and the machine was initialized to resolve the St20_2A axis alarm issue."
General Equipment,FAI 49,FAI 49issue at Post APMT,Identified during failure analysis,Change the parameter then running - Cell loading Y1 servo 17.00 to 17.02 Y2 servo 23.67 to 23.69
Loading System,PCM loading Machine,PCM flip 1 clamp issue,Identified during failure analysis,Check the clamp spring damage then change new spring.
General Equipment,Cosmatic tape sticking,Upper computer abnormal connection,Identified during failure analysis,Restart the software then running.
Assembly Station,Post - APMT,Problem- St 20 axis alarm,Identified during failure analysis,Action - Mannually home st20 axis or initialize the machine.
Loading System,PCM loading Machine,Welding shif part,Identified during failure analysis,Welding parameter change in y axis 6.897 to 6.937
General Equipment,OCV test,MES hang,Identified during failure analysis,Restart the software & run.
General Equipment,W.I.sticking,Proper not attached tape roll in feeder.,Identified during failure analysis,Reinsert tape roll.
Assembly Station,Post APMT machine,"ST-20,1-B axis alarm",Identified during failure analysis,Machine inside to all parts remove and initialize
Battery Management Unit,BMU tape sticking,Reflux c/v timing Belt damage,Identified during failure analysis,Timing belt change & motor pully alingment done
General Equipment,VHB machine,Drive mode alarm (3 time),Identified during failure analysis,4-Ethernet cable change drive=20 to 21 drive= 21 to 22 drive= 27 to 28 drive= 28 to 29 then m/c inside to all parts remove & m/c initialize
General Equipment,Ocv test machine,MES pc hang,Identified during failure analysis,PC restart
General Equipment,VHB machine,Drive mode alarm,Identified during failure analysis,"Drive 17,18 cable reconnect then servo mannually position."
Loading System,Unloading Machine,Upper computer abnormal connection,Identified during failure analysis,Restart the PC & software.
Loading System,Loading Machine,Bof cam2 scan is not on,Identified during failure analysis,Slide cylinder stopper loose then tight properly.
General Equipment,OCV Test Machine,MES abnormal connection [2times],Identified during failure analysis,Restart the PC & software.
General Equipment,Cosmatic Tape Sticking,Feeder 2 abnormal,Identified during failure analysis,Check the feeder waste roll stuck in backside roller then clean roller.
Unknown,Unknown,Upper computer abnormal connection,Identified during failure analysis,Restart the PC & software.
Loading System,Loading Machine,Drive mode alarm [ HMI no drive alarm not showing ] [2times].,Identified during failure analysis,ITS disable & Power up. All drive MCB drive power off \ on then manually servo position.
General Equipment,OCV test,MES computer connection abnormal,Identified during failure analysis,Restart the PC & software.
General Equipment,Water ingress sticking,Vaccum alarm,Identified during failure analysis,Pick position adjust
Assembly Station,Post - APMT,ST-20 2 axis move out alarm:,Identified during failure analysis,Manual home servo initial machine
General Equipment,Pcm tab bending,MES computer connection abnormal,Identified during failure analysis,Restart the PC & software.
Assembly Station,Pre APMT,"Bali error, Barcode upload error due to barcode is not getting send to software",Identified during failure analysis,"In Easy ID software in image settings than in Trigger control , Trigger source found software it should be line 1 Preventive Action: Easy id software screeenshot taken and saved in E:\Backup X2821 Pre APMT\Screenshot 17.02.2025"
Assembly Station,Pre APMT,ST-20 2A axis move out alarm: on search found 1st alarm used to come of cylinder then found reed switch not came,Identified during failure analysis,So reed switch agjusted
General Equipment,Cosmatic Tape Sticking,Robot time out alarm,Identified during failure analysis,Robot memory clear and run
General Equipment,Water ingress sticking,MES hang,Identified during failure analysis,Restart the PC & software.
General Equipment,Cosmatic Tape Sticking,Upper computer abnormal connection,Identified during failure analysis,Restart the PC & software.
Loading System,Cell loading,MES hang,Identified during failure analysis,67
Battery Management Unit,BMU tape sticking,Upper computer abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,VHB machine,Intrans-2 vaccuam alarm,Identified during failure analysis,Delay time set
General Equipment,Leakage M/c,Pc to plc communication abnormal,Identified during failure analysis,Alarm reset after 5 minuts due to pc hang
General Equipment,VHB machine,Out take updown Cylinder mounting broken.,Identified during failure analysis,Maked new mounting & change.
General Equipment,VHB machine,Turntable 2 CCD NG,Identified during failure analysis,Exposer value change from 2200 to 2400
General Equipment,VHB machine,Clean shift one part abnormal,Identified during failure analysis,Hight set of plasma 2 station
General Equipment,Line-1,All m/c mes network fluctuate due to this all part move at ng conveyor (2 time),Identified during failure analysis,Reset and run
Battery Management Unit,BMU Tape sticking,Upper computer hang,Identified during failure analysis,Restart software
General Equipment,VHB machine,Vhb lift -1 feed up down abnormal due to vhb feed overload,Identified during failure analysis,Extra vhb remove then run
General Equipment,Water ingress sticking,MES computer connection abnormal,Identified during failure analysis,PC restart
General Equipment,VHB machine,Out roll-2 vaccuam alarm,Identified during failure analysis,Out roll up & down cylinder flow set & delay time set
General Equipment,VHB machine,FAI 79 ng at POST APMT m/c,Identified during failure analysis,Right side CH. no.-6 offset parameter change before - (-0.07) After - (-0.08)
General Equipment,VHB Machine,Clean Pro 1 is not on Alarm X5.14,Identified during failure analysis,Stopper Adjust
General Equipment,FT Machine,Robot 1 Left Down CCD Ng,Identified during failure analysis,Caliper Threshold Increase 20 to 35
General Equipment,Cosmetic tape Forming 2,FAI 38 Ng,Identified during failure analysis,Tape Change
General Equipment,Pcm tab bending,MES abnormal connection,Identified during failure analysis,PC Restart
General Equipment,FT Machine,Robot 1 down image Ng,Identified during failure analysis,Image teach and exposer time increase
General Equipment,Water ingress sticking,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,VHB machine,FAI 90 ng at POST APMT m/c,Identified during failure analysis,Right side CH. no.-6 offset parameter change before - (-0.03) After - (-0.01)
General Equipment,VHB machine,Left side down ccd camera not work,Identified during failure analysis,Camera com port change from pc
General Equipment,Cosmetic forming,FAI - 49 ng at post-apmt,Identified during failure analysis,Cosmetic front forming -2 tape change
General Equipment,Water ingress sticking,MES abnormal connection [2times],Identified during failure analysis,PC restart
General Equipment,Pcm tab bending,Pcm pre bending m/c pre bend top cyd not on,Identified during failure analysis,Read switch set
General Equipment,PCM Tab Bending,FAI 26 NG,Identified during failure analysis,Pre Bending Pressure adjust
General Equipment,FT Machine,Test Station 36 is not on,Identified during failure analysis,"Adjust Reed switch But not run so, bypass channel"
General Equipment,VHB Machine,Trans 2 vacuum alarm,Identified during failure analysis,Vacuum pad change
General Equipment,Leakage M/c,Loading robot vacuum alarm,Identified during failure analysis,Vacuum pad tight
General Equipment,Water ingress wrapping,Upper computer hang,Identified during failure analysis,Software restart
General Equipment,VHB Machine,Cam feed 1vacuum alarm,Identified during failure analysis,Vacuum filter change
General Equipment,VHB Machine,FAI - 90 NG,Identified during failure analysis,Right side y-2 offset parameter change beffore - (-2..6) After - (-2.55)
General Equipment,VHB Machine,FAI - 79 NG,Identified during failure analysis,Left side CH-3 offset parameter change Before - (-0.27) After - (-0.255)
General Equipment,VHB Machine,Intrans - 2 vaccuam alarm,Identified during failure analysis,Feeder screw alingment done
General Equipment,Water ingress sticking,MES pc abnormal connection,Identified during failure analysis,PC Restart
Loading System,PCM loading Machine,Protection plate X2.4 alarm,Identified during failure analysis,Turntable fixture-2 inside pcm stuck so stuck pcm take out
Loading System,Cell loading,ITS issue,Identified during failure analysis,Sensor & PA card changed
General Equipment,Pack unlading A11,MES abnormal connection,Identified during failure analysis,Restart the PC
Assembly Station,Post APMT machine,St 20a st30a st40b axis alarm,Identified during failure analysis,Manual home servo initial machine
General Equipment,Connector inspction,CCD NG issue,Identified during failure analysis,Background tape change
General Equipment,Cosmatic Tape Sticking,Upper computer hang,Identified during failure analysis,Software restart
General Equipment,FAI - 90NG,FAI - 90 NG,Identified during failure analysis,Right side y-2 offset parameter change beffore - (-2.5) After - (-2.4)
Assembly Station,Post APMt,FAI -79 NG (Responsible PE),Identified during failure analysis,Right side R2 offset given in anti clockwise 0.1 to 0.09
General Equipment,FT Machine,Without alarm stop,Identified during failure analysis,All robot memory clear and run
General Equipment,FT Machine,Offset tank chain dictation abnormal,Identified during failure analysis,A11 Machine rolling cylinder2 vacuum cup change
Loading System,Pack unloading,MES abnormal connection,Identified during failure analysis,PC Restart
General Equipment,Ocv test machine,OCV pin test count over,Identified during failure analysis,Counter restart
General Equipment,Leakage machine,Serious Alarm,Identified during failure analysis,M/C Power off and initilize
General Equipment,ITS,ITS Mover in tab cutting m/c,Identified during failure analysis,ITS Sensor change
General Equipment,Ocv test machine,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,W.I.sticking,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,FT Machine,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,Water ingress wrapping,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
Assembly Station,Post APMT,St20_two axis module_1A axis alarm,Identified during failure analysis,Remove the part & initilize the machine.
Assembly Station,Post APMT,ST30_A_VHBCameraPhotographingCompletionSignalReturnTimeout,Identified during failure analysis,Remove the part & initilize the machine.
General Equipment,VHB Machine,Press out upd 1 is not on Alarm.,Identified during failure analysis,Reed Switch Adjust
General Equipment,Water Ingress Sticking,MES Abnormal,Identified during failure analysis,Restart software & run.
Assembly Station,Post APMT,St20_A negative limit alarm,Identified during failure analysis,Remove the part & initilize the machine.
Loading System,Cell loading,Cell print NG,Identified during failure analysis,Remove the part & initilize the machine.
General Equipment,VHB Machine,Drive Alarm (du to pannel temprature issue),Identified during failure analysis,Servo manualy set the position
Loading System,Cell loading Pcm loading,"Post APMT FAI26,51 fail",Identified during failure analysis,Cell loading machie y1 feeding refrance position change Before - 17.6 After - 17.04 Pcm loading m/c Y1 & R1 feeding refrance position change Y1 - before - 26.25 after - 26.21 R1 - before - 1.58 after - 1.63
General Equipment,VHB Machine,Vaccum Incam 2 is not on,Identified during failure analysis,Change air filter
Assembly Station,Pre - APMT,St-10 photo signal return time out alarm & backdoor open by Production team.,Identified during failure analysis,Remove all part & machine initialize.
General Equipment,Connector inspction,Upper computer abnormal connection & MES hang.,Identified during failure analysis,Restart software & run.
General Equipment,Water Ingress Sticking,MES abnormal connection,Identified during failure analysis,Restart software & run.
Loading System,Cell loading,Drive Alarm (du to pannel temprature issue),Identified during failure analysis,"1,2 no drive communication cable change"
General Equipment,VHB Machine,Vhb feed turntable 2 sporting rood luse,Identified during failure analysis,Tight proberly and run
General Equipment,VHB Machine,Drive mode alarm 28to 29 cable,Identified during failure analysis,Drive cable clean and run tha m/c
Loading System,Cell loading,Fai - 101 & 102 fail in right side,Identified during failure analysis,Feedind cover open & closing cover stoper set Robot vaccuam pad change
General Equipment,VHB machine,Intrans - 1 vaccuam rod broken,Identified during failure analysis,Vaccuam rod chage with new
Assembly Station,Post APMT,ST20_TwoAxisModule1_A_MeasureStationReadySignalReturnTimeOut,Identified during failure analysis,Remove all part & machine initialize.
General Equipment,Tab Z bending and cutting,MES Abnormal,Identified during failure analysis,Restart software & run.
General Equipment,FT Machine,Discharge tank chain feedback abnormal alarm（ 2 time）,Identified during failure analysis,All part remove amd memory clear
General Equipment,VHB Machine,Topping 2 vacuum alarm x10.10,Identified during failure analysis,Tear station allingment and done
General Equipment,FT Machine,Upper computer abnormal connection unit 1,Identified during failure analysis,Restart software & run.
General Equipment,Water ingress wrapping,Upper computer abnormal (helcan error),Identified during failure analysis,Shoftwere again install
General Equipment,Connector inspction,Upper computer abnormal connection,Identified during failure analysis,Restart software & run.
Loading System,Cell loading,Appearance NG coming continiously。,Identified during failure analysis,Remove all parts from machine then re-feeding new cell.
General Equipment,Cosmetic tape sticking,MES abnormal connection,Identified during failure analysis,Restart the PC & software.
General Equipment,Water ingress wrapping,Glue tape scraping block damage,Identified during failure analysis,Glue tape scraping block change
Unknown,Unknown,Robot Vacuum alarm.,Identified during failure analysis,Ventuary Change.
General Equipment,Z-shaping,Mover free at Z-Shaping station.,Identified during failure analysis,Manual supply on & mover take out conveyor side.
General Equipment,Tab bending,Drive mode alarm ( 2 Times),Identified during failure analysis,Clean all ethernet cable & reinsert.
General Equipment,Z-shaping & Tab bending,Machine stop without alarm,Identified during failure analysis,Machine initilize
General Equipment,Leakage test,Rbt 1 &PLC heart beat abnormal,Identified during failure analysis,Initial machine
General Equipment,ITS not working,Fiber is not connected alarm,Identified during failure analysis,Cell loading Fiber &power cable change
General Equipment,VHB Machine,Scrach issue,Identified during failure analysis,Incoming barcod scan station trans perant tape change
Loading System,Cell loading machine,Appearance NG coming continiously (6 -time issue),Identified during failure analysis,Remove all parts from machine then re-feeding new cell
General Equipment,Leakage machine,Overturn vaccuam alarm,Identified during failure analysis,Vacuam pad clean
Loading System,Pack unloading,Pick-1 vaccuam alarm,Identified during failure analysis,PU -pipe change
Loading System,Cell loading,Apperance NG,Identified during failure analysis,Remove all part & machine initialize.
Assembly Station,Pre-APMT,FAI-76,Identified during failure analysis,Stick tape on bottom cylinder of both cosmetic forming station and Carrier remove 146A
General Equipment,FT Machine,Robot-1 side positioning cylinder not on.,Identified during failure analysis,Adjust air flow by flow controller.
General Equipment,Cell tab cutting and Flattening,FAI106 NG issue,Identified during failure analysis,Offset given in ccd( 0.23 to 0.26)
Assembly Station,POST-APMT,"ST-20,30,40 Fetch cylinder_ Home fail",Identified during failure analysis,Initialised the machine
General Equipment,FT,Robot -3 down image fail high issue,Identified during failure analysis,Upper ccd exploser increase
Loading System,Cell Loading,No barcode binding records(Printing NG ),Identified during failure analysis,Fresh cell running then ok
General Equipment,VHB Machine,Vacuum VHB_1 is not on x1009,Identified during failure analysis,"VHB translocation put VHB in wrong position, change feeder now 2 is running"
General Equipment,FT,Approx 14 channel disable due to cycle time not achieve,Identified during failure analysis,See problem description
General Equipment,FT Machine,Tester Matting NG issue.,Identified during failure analysis,Teaching and Pogo pin change.
General Equipment,VHB Machine,VHB Intake Vacuum Alarm,Identified during failure analysis,Vacuum Pressure Switch Change.
Loading System,Cell Loading,Maping NG,Identified during failure analysis,See problem description
General Equipment,Cosmetic Sticking,Upper Computer Abnormal,Identified during failure analysis,PC Restart
General Equipment,FT machine,Robot -3 matting NG issue,Identified during failure analysis,All channel Teaching check and verfied by TE person (Deepak) but again matting ng issue some channels
General Equipment,Water ingess sticking,Fai-103 ng,Identified during failure analysis,After roll change this issue came Change the x - position 0.65 To 0.64 in left side
Loading System,Cell loading machine,Cell loading mapping ng,Identified during failure analysis,Remove the parts in manually
General Equipment,Cosmetic Sticking,Fai-124 ng,Identified during failure analysis,Robot pad clean
Inspection Station,Connector inspection,CCD ng,Identified during failure analysis,Turntable fixture no.04 &03 spring change
General Equipment,Plasma machine,Plasma angle was not made up,Identified during failure analysis,RHS nozzle change
Assembly Station,Pre-APMT machine,Back Door someone has open,Identified during failure analysis,Clear part and initialised the machine
Assembly Station,Pre-APMT machine,St-20 module _A vacuum fail,Identified during failure analysis,"Set vacuum from pressure sensor then ok (before -50kpa, after -40kpa)"
General Equipment,FT-Machine,Rethrow back feeding X213 and X511 is not on .,Identified during failure analysis,"Wrong part feed and removed all by MFG/TE so machine sence that part but physically not available there, whole initialisation then ok"
General Equipment,Casmetic Tape sticking,Roll finished,Identified during failure analysis,Change the roll
General Equipment,Cosmetic Tape Sticking,Fai 124 NG,Identified during failure analysis,Roll Found NG (Reject Tag on Roll) and Unwanted Tape found Roller of feeder so clean the feeder and remove the tape and change the roll
Loading System,Cell Loading Machiine,Mapping NG issue,Identified during failure analysis,See problem description
General Equipment,Cosmetic Tape Sticking,Upper Computer Abnormal,Identified during failure analysis,Restart the PC
Battery Management Unit,BMU Tape STICKING,Roll finished,Identified during failure analysis,Change the Roll
General Equipment,Cosmetic Wrapping,Big Wing Wrapping Issue,Identified during failure analysis,Right side roller tape change
Loading System,Pack Unloading,Rethrow Rotary cylinder not working,Identified during failure analysis,Change the cylinder
General Equipment,FT Machine,Robot 1 CCD continuosly NG,Identified during failure analysis,Clean the Camera cable and reinsterted
Assembly Station,Pre APMT,ST 40 unload axis Fetch Cylinder alarm,Identified during failure analysis,Initialise the machine
Assembly Station,PRE APMT,ST 20 1 B axis alarm,Identified during failure analysis,Initialise the machine
Assembly Station,Post APMT,One part leakage in ng conveyor,Identified during failure analysis,During line clearance hold parts in Ft machine & mannually input refeed conveyor. Check the part data before running in A shift 11 AM in ft machine again refeed 12:30 in C shift. Check the alarm log & machine no abnormalities found in machine.
General Equipment,Whole line,Changeover Cosmax cell to ATL cell,Identified during failure analysis,Line clearance & PN no. change whole line.
General Equipment,Water ingess sticking,FAI103 Ng issue,Identified during failure analysis,Offset given in ccd( 0.61 to 0.47)
General Equipment,Leakage machine,All chamber down without any alarms,Identified during failure analysis,Initialise the machine
Loading System,Cell Loading Machine,Drive Mode alram Between Drive no 7 -8,Identified during failure analysis,Communication Cable Clean and Manually Done Servo to their Home position.
General Equipment,Cosmetic Sticking Machine,Upper Computer Abnormal,Identified during failure analysis,Restart Computer then run.
Loading System,PCM Loading Machine,Mark On Cell While Servo Putting part,Identified during failure analysis,X1 Parameters Change 7.93>7.94
Assembly Station,Pre-APMT Machine,ST 40 unload axis Fetch Cylinder alarm,Identified during failure analysis,Initialise the machine
Inspection Station,Connector inspection,In roll vacuum alarm,Identified during failure analysis,Vacuum pad change & fom tape change done
General Equipment,Water ingess Wrapping,Centrifugle paper detection alarm,Identified during failure analysis,Sensor sensing range set
Inspection Station,Connector inspection,Imperation mark issue,Identified during failure analysis,Discharge tank fixture clean
General Equipment,FT Machine,Upper Computer Abnormal,Identified during failure analysis,Restart the software
General Equipment,FT Machine,Leakage part found In ft,Identified during failure analysis,After analysis that part hit by robot 3
Loading System,PCM Loading Machine,Water ingress expose issue,Identified during failure analysis,Y1-26.22-26.23
General Equipment,Water ingress sticking,Water ingress expose issue,Identified during failure analysis,Water ingress sticking-X-0.48-0.65 R1-0.67-0.75 X2-0.57-0.64 R2-0.14-0.19
General Equipment,Ft machine,"Channel no.46,47 matting issue",Identified during failure analysis,"Pcb repare 46,&47 pcb change"
General Equipment,VHB Machine,Feed shift cylinder not off alarm,Identified during failure analysis,Newmatic pipe air leakage I connector stick and run
General Equipment,Casmetic Tape sticking,Upper Computer Abnormal,Identified during failure analysis,Restart the PC
General Equipment,LQC,Casmetic Left edge side minor dent issue,Identified during failure analysis,Stop machine and cleaning done on VHB All Fixture
Assembly Station,Pre-APMT Machine,(0365) St40 Unload AxisFetch cyd Home Fail,Identified during failure analysis,Reed switch changed
General Equipment,VHB machine,Casmetic tape Sticking,Identified during failure analysis,Roll Scrapper stuck with roller
Unknown,Unknown,Connector machine,Identified during failure analysis,Stop due to Quality golden sample check
Assembly Station,Post APMT,Axis time out alarm,Identified during failure analysis,All part remove and initilize tha m/c
Loading System,PCM Loading Machine,Right side PCM shift Vaccum issue,Identified during failure analysis,Ventury and Filter Changed
Loading System,PCM Loading Machine,"Fai 109-1,109-2 issue",Identified during failure analysis,Parameter Change ( R1 - 1.70 to 1.65 ) (Y1- 26.15 to 26.10)
General Equipment,Water Ingress Sticking,Tape Expose issue,Identified during failure analysis,Parameter Change ( Right side .66 to .69 )
Welding Machine,Laser welding,Welding point set,Identified during failure analysis,Al tab welding X position change
General Equipment,Water ingress wrapping,Water in gress tape flapper not remove,Identified during failure analysis,Centrifugle paper UPD cylinder stoper set
General Equipment,VHB Machine,175 pcs. Scane NG,Identified during failure analysis,Some parts refeed
Loading System,Cell loading,Upper Computer Abnormal,Identified during failure analysis,PC Restart
Loading System,Cell loading,Drive Mode alram,Identified during failure analysis,Machine power reset & cleaned communication cable.
Loading System,Cell loading,Mes abnormal,Identified during failure analysis,MES PC restart
General Equipment,Water ingress sticking,FAI 103 NG,Identified during failure analysis,Left side put position decrese from 0.7 to 0.58
General Equipment,Cosmetic sticking,FAI- 125 NG,Identified during failure analysis,Put position change from -1.83 to -1.73
Loading System,Cell Loading Machine,Regarding Cell angle,Identified during failure analysis,"R1 & R2 angle range value change from ccd software (Before -.5 To 0.8 , After = -0.3 To 0.42)"
Loading System,PCM Loading Machine,"FAI 110 ,Water Ingress Expose issue",Identified during failure analysis,Parameter change (Y1 - 26.10 to 26.05 R1 - 1.65 to 1.7 X2- 6.07 to 6.16 R2 .35 to .38 )
General Equipment,Cosmetic Tape Wrapping,FAI 126 issue,Identified during failure analysis,Due to water ingress & PCM loading parameter change
Loading System,PCM loading,Upper computer hang,Identified during failure analysis,PC restart
General Equipment,Cosmetic sticking,Upper computer hang,Identified during failure analysis,PC restart
General Equipment,Water Ingress Sticking,Fai-103 ng,Identified during failure analysis,Left parameter X-position offset 0.55 to 0.50 set R-position offset 0.71 to 69 set Right side X-position offset 0.77 t0 0.73 set
General Equipment,Cosmetic forming,Fai-126 NG,Identified during failure analysis,Left side forming holding lift 109.5 to 107.5
General Equipment,Water ingress sticking,FAI 103 NG & water ingress tpae expose,Identified during failure analysis,Offset provide in X axis 0.5 to 0.55mm
Loading System,PCM loading,Water ingress expose,Identified during failure analysis,Offset provide in Y axis10 micron
Assembly Station,POST-APMT,FAI 26& 51,Identified during failure analysis,Tape provide at tab bending front forming
General Equipment,FT,Robot-4 not respond,Identified during failure analysis,Robot controller power reset
General Equipment,FT,Upper Computer Abnormal,Identified during failure analysis,Restart sofware
General Equipment,VHB Machine,Outtake up down cylinder on off,Identified during failure analysis,Air flow adjust & PU pipe adjust proprly in dragchain
General Equipment,Water ingress sticking,Roll finished,Identified during failure analysis,Roll refeed
General Equipment,Cosmetic sticking,Roll finished,Identified during failure analysis,Roll refeed
General Equipment,VHB Machine,Trans 3 Vaccum Alarm,Identified during failure analysis,Change the Vaccum Rod & pad
General Equipment,Leakage machine,Data Upload NG,Identified during failure analysis,VOC meter Screen Fluctuate so Chage from Line2
Loading System,Cell Loading Machine,High Rejudgement,Identified during failure analysis,PE team working OnTilted Part Analysis
General Equipment,VHB Machine,Upper Computer Abnormal,Identified during failure analysis,Restart The PC and Run
Loading System,Cell Loading Machine,Upper Computer Abnormal,Identified during failure analysis,Software Restarted
General Equipment,Cosmetic sticking,Upper Computer Abnormal,Identified during failure analysis,PC Restart
General Equipment,Tab cutting,High Rejudgement due clent,Identified during failure analysis,Again draw ROI OF celent
General Equipment,Water ingress wrapping,Water ingress expose,Identified during failure analysis,Fixture tape provide at roller
Assembly Station,Post APMT,Laser not initilize,Identified during failure analysis,Both system restart and machine initilize
General Equipment,Cosmatic TAPE wrapping,Wrapping ng,Identified during failure analysis,Cosmetic tape big wing plate alignment done
General Equipment,Cell tab cutting m/c,Water ingress tape flapper not remove,Identified during failure analysis,Tear forward cylinder Stoper adjustment done
Assembly Station,Post apmt,During calibration ST-20 1A axis limit alarm,Identified during failure analysis,Restart the software & initialize the machine
General Equipment,Cosmetic stickin,Upper computer Abnormal,Identified during failure analysis,Restart the pc
Battery Management Unit,BMU tape sticking mc,Tape not sticking due to MES issue coming,Identified during failure analysis,MES PC power restart two time and also software restart after that run ok.
Loading System,Cell loading mc,1.All servo drive enable alarm was coming. 2.Inroll vacuum alarm,Identified during failure analysis,"1.Communication LAN Cable change from PLC to Drive Unit but again same issue so,all drive communication LAN cable change then running ok.(flore temp.-29 degree) 2.Found vacuum cup damage so,change vacuum cup."
General Equipment,Tab bending mc,FAI49 issue,Identified during failure analysis,Pre bend move position set from 89.86 to 89.92
General Equipment,Cosmatic tape sticking mc,CCD ng issue coming,Identified during failure analysis,Extra tape detection ROI block delet after that run ok.
General Equipment,Water ingress warpprapping mc,Mes abnormal,Identified during failure analysis,PC restart
General Equipment,Leakage mc,Data upload issue after sample checking,Identified during failure analysis,Machine initialization after run machine
General Equipment,FT mc,Tester show no test start due to All tester power Off condition,Identified during failure analysis,All tester power on and also all software restart then run ok.
General Equipment,VHB mc,Impression mark on battery on detum side,Identified during failure analysis,Turn table fixture cleaning done(Two times)
Loading System,PCM Loading,FAI49 issue,Identified during failure analysis,Y1 Axis fedding reference position -26.07-26.20
Loading System,Cell Loading,Cam_2 Scanning code receiving exception,Identified during failure analysis,"Scanner power reset from communication port but not solve, manually trigger through the software then running"
General Equipment,Tab-cutting/Casmetic sticking/Water ingress Tape Sticking,Frequency check error,Identified during failure analysis,IT Team resolve it
Assembly Station,Post-APMT,FAI51 Issue,Identified during failure analysis,ST-10 PCM pushing cylinder pnuematic pipe Air leakage so insert I-connector
Assembly Station,Pre-APMT Machine,ST-30 Test_B Axis Alarm,Identified during failure analysis,Initialise the macine
General Equipment,LQC,Casmetic side minor scratch issue,Identified during failure analysis,Clean VHB machine all fixture
General Equipment,Casmetic Tape sticking,Upper computer hange,Identified during failure analysis,Restart the PC
General Equipment,Function test,Connector deformation issue due to software currupt due to PC going on auto update mode,Identified during failure analysis,Robot teaching done.
General Equipment,Water ingree wraping,Upper Computer Abnormal,Identified during failure analysis,Restart PC
General Equipment,VHB,In trans move vaccume alarm,Identified during failure analysis,Replace with new ventury.
General Equipment,VHB machine,Tekscan activity,Identified during failure analysis,Done
General Equipment,A1 -A11,Pressure,Identified during failure analysis,Ongoing
General Equipment,FT,Matting NG issue,Identified during failure analysis,Chanel reteach
General Equipment,Whole Line,Cosmetic side impression mark isse,Identified during failure analysis,Cleaning done
General Equipment,Water ingree wraping,Flapper removing issue,Identified during failure analysis,Flapper sucking block Position set
Loading System,Cell loading,Wrong direction part feed,Identified during failure analysis,Memory clear & remove all part & replace with another tray
General Equipment,Whole Line,"A1 to A11 High rejudgement FAI125,126,Datum NG",Identified during failure analysis,Adjust parameter
Loading System,Cell loading,Tray load in machine with missing part,Identified during failure analysis,Memory clear & remove all part & replace with another tray
Assembly Station,Post-APMT,Laser Time out alarm,Identified during failure analysis,PC Restart & Machine initialize
Loading System,Cell Loading,Provided the turntable CCD Lens support mounting & cable duct shift towards the CCD.,Identified during failure analysis,Provided the turntable CCD Lens support mounting & cable duct shift towards the CCD done.
Unknown,Unknown,ITS connection abnormal,Identified during failure analysis,Restart the Machine & software.
Unknown,Unknown,FAI 101 & 102 data check offline,Identified during failure analysis,"Check the data & adjust the servo parameter X2 put position 17.47 to 16.30 , Y2 pick position 225.10 to 223.00 ,Y2 put position 22.55 to 18.20 ."
General Equipment,A1 to A11 Machine,Tekscan activity,Identified during failure analysis,Report pending.
Loading System,Cell loading,FAI-101 NG,Identified during failure analysis,Put position shift 17.05 to 16.85 mm
Loading System,Cell loading,Mapping NG part,Identified during failure analysis,See problem description
General Equipment,Function test,Matting NG,Identified during failure analysis,See problem description
General Equipment,LQC,Cosmetic tape open issue,Identified during failure analysis,Foam tape provide
Assembly Station,Pre-APMT,FAI-39,Identified during failure analysis,Cosmatic forming front block tape change and Pre-APMT run offline mode
General Equipment,Leakage Test,PC Hang,Identified during failure analysis,PC Restart
General Equipment,LQC,Cosmatic Tape wrapping issue,Identified during failure analysis,Fixture tape provide at big wing wrapping station
